BHK_NO.,SQUARE_FT,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
2,1300.236407,"Ksfc Layout,Bangalore",12.96991,77.59796,55
2,1275,"Vishweshwara Nagar,Mysore",12.274538,76.644605,51
2,933.1597222,"Jigani,Bangalore",12.778033,77.632191,43
2,929.9211427,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,62.5
2,999.009247,"New Town,Kolkata",22.5922,88.484911,60.5
3,1250,"South Chittoor,Kochi",10.03328,76.282571,42
3,1495.053957,"Sodala,Jaipur",26.916347,75.7956,66.5
3,1181.012946,"Kharar,Mohali",30.74,76.65,52
2,1040,"Bileshivale,Bangalore",13.054202,77.674002,41.6
2,879.1208791,"Chromepet,Chennai",12.95161,80.14097,36
3,1350.308642,"Deshbandhu Para,Siliguri",26.724219,88.326357,35
2,1333.010179,"Hebbal,Bangalore",13.04034,77.591347,110
2,927.1779023,"Garebhavipalya,Bangalore",12.96991,77.59796,48
2,1122.171946,"Sector-119 Noida,Noida",28.587711,77.403123,62
1,649.9837504,"sanjay nagar,Raigad",13.0352,77.5772,20
3,1394.117647,"Sector-150 Noida,Noida",28.429614,77.481711,71.1
3,1800.08471,"Jharapada,Bhubaneswar",20.275267,85.862407,85
3,2124.896706,"Konanakunte,Bangalore",12.8855,77.5638,180
2,1100,"Nagpur Road,Wardha",21.15389,79.08306,22
3,2178.649237,"Kogilu,Bangalore",13.092356,77.613468,120
2,881.1435285,"Poonamallee,Chennai",13.05,80.11,45
2,944.8818898,"Undri,Pune",18.452663,73.93104,42
3,1310.147689,"Sector-134 Noida,Noida",28.5041,77.381557,55
1,630.00063,"Bandra (West),Mumbai",19.05444,72.84056,300
2,1219.80971,"Narendra Nagar,Nagpur",21.105779,79.078497,50
2,780.141844,"Kudgat,Kolkata",22.54111,88.33778,27.5
3,1600,"Sain Vihar,Ghaziabad",28.63601,77.433724,46
2,1180.412371,"Sector-115 Mohali,Mohali",30.712867,76.648557,22.9
2,1000,"Mohan Asram,Deoghar",24.48,86.7,39
2,1000,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,12.5
3,1400.107701,"Sector 84 Faridabad,Faridabad",28.40473,77.367514,52
2,943.1266076,"Sector-134 Noida,Noida",28.5041,77.381557,33
2,1150.146382,"Indra Colony,Jaipur",26.586306,74.873234,55
1,864.0674394,"Thane West,Lalitpur",19.18,72.96333,82
2,857.7861968,"Mulund (West),Maharashtra",19.1759,72.9522,240
3,1174.210077,"Thalambur,Chennai",12.852171,80.216826,55
2,1020.087884,"Wakad,Pune",18.5993,73.7625,65
4,1650.165017,"Vasna,Vadodara",22.312063,72.674296,65
2,1000,"Madhurawada,Visakhapatnam",17.815234,83.35818,35
3,1300.052002,"Vasanthapura,Bangalore",12.894088,77.548914,75
1,40606.19568,"Kanjur Marg (East),Lalitpur",24.69028,78.41889,9110
2,1058.114928,"Sus,Pune",18.539812,73.737678,65
1,400,"Kharadi,Pune",18.5438,73.9438,30
3,1274.924779,"Marol,Mumbai",22.803593,83.755013,250
2,1026.694045,"Wadala East,Lalitpur",19.014858,72.8662,220
2,1150.121065,"Near Ambamata Mandir,Vapi",20.36667,72.9,38
3,1200,"Patel Nagar-II,Ghaziabad",28.460928,77.039391,60
1,475.0103263,"Balkum,Lalitpur",24.69028,78.41889,46
1,301.9171163,"Taloja,Lalitpur",24.69028,78.41889,26.3
2,1228.571429,"Bolar,Mangalore",12.843852,74.845271,51.6
2,986.0164934,"Ayanambakkam,Chennai",13.077175,80.151453,55
3,1972.565158,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,71.9
1,420.6166888,"Sindhi Society Chembur,Lalitpur",19.048403,72.88731,130
3,1275.009808,"Shiv Mandir,Siliguri",25.232239,71.392013,32.5
1,406.024219,"Kalyan (West),Maharashtra",19.245347,73.124577,39.9
3,1862.562189,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,59.9
2,950.0146156,"Nandanwan Phases 2,Aurangabad",19.88879,75.34344,65
4,5200.945626,"Sector-76 Noida,Noida",28.567633,77.383124,110
2,1049.969344,"Basaveshwara Nagar,Bangalore",12.985039,77.54383,68.5
3,1615.008157,"Maniktala,Kolkata",22.589694,88.372957,99
3,1150.0069,"Wadala East,Lalitpur",19.014858,72.8662,250
2,1100,"Jhotwara,Jaipur",26.955346,75.734793,27.5
2,906.2661833,"Balkum,Lalitpur",24.69028,78.41889,70
3,1454.333915,"Poolakkaparambu,Ottapalam",10.77,76.38,50
3,1591.994542,"Sector-137 Noida,Noida",28.506454,77.409568,70
2,573.8769151,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,22.1
3,1038.883942,"Powai,Mumbai",19.12,72.91,280
3,1538.141758,"Yelahanka,Bangalore",13.11389,77.59833,74
2,5000,"Malviya Nagar,Jaipur",26.850391,75.814198,85
3,1602.084012,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,49.2
2,1200,"Madhuranagar,Vijayawada",16.51667,80.61667,45
2,760.07094,"Tilakwadi,Belgaum",15.86667,74.5,60
2,739.8273736,"tallaiya,Bhopal",23.25,77.41667,30
2,1260.02291,"Mulki,Mangalore",13.0915,74.7844,33
2,1100.151745,"Manewada,Nagpur",21.093676,79.111965,29
3,2293.077091,"Kharadi,Pune",18.5438,73.9438,210
2,1146.480331,"Sector-8 Ulwe,Lalitpur",19.216097,72.821721,88.6
4,2224.059764,"Goregaon (East),Lalitpur",19.1615,72.8731,780
2,759.8784195,"Joka,Kolkata",22.452032,88.298947,30
4,2260.251857,"Wilson Garden,Bangalore",12.9506,77.5952,140
3,767.0182167,"DN Nagar,Maharashtra",20.742166,80.104602,240
4,2500,"Ramprastha,Ghaziabad",28.66667,77.41667,160
4,2286.236854,"Gomti Nagar Extension,Lucknow",21,77,100
2,1150.086256,"Sector-74 Noida,Noida",28.577673,77.389781,60
2,1004.932182,"New Panvel,Mumbai",18.966114,73.148278,81.5
2,800,"Prantik,Kolkata",22.56972,88.36972,34
3,993.75,"Subhas Pally,Siliguri",26.706157,88.439748,31.8
2,1298.139334,"Jatkhedi,Bhopal",23.169982,77.477889,30
